"Bescheid-Nr.
Notice-no."; "Bezeichnung des Stoffes oder Gegenstandes
Name (trade name) of the substance or article"; "Identifikation
Identification"; "Lagergruppe+Verträglichkeitsgruppe
Storage group+compatibility group"; "Sicherheitsrelevante Verpackungsmerkmale
Safety-relevant packaging characteristics (some only in German)"
"D/BAM-1886/17"; "Fragmenting Gun System"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innen:
Papprohr mit einer Wandstärke von mindestens 5 mm, beinhaltet einen Gegenstand.

Ein Papprohr besteht aus zwei Halbschalen, die durch Klebebänder, Gurte oder Kabelbinder miteinander verbunden sind.

Zwischen:
nicht erforderlich

Außen: 
Holzkiste aus OSB-3 12mm mit Vollholzlaschen 23 mm KD und Längskufen.

Alle Hölzer sind gemäß der ISPM 15 hitzebehandelt."
"D/BAM-1887/17"; "Fragmenting Gun System"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innen: 
Papprohr mit einer Wandstärke von mindestens 5 mm, beinhaltet einen Gegenstand.

Ein Papprohr besteht aus zwei Halbschalen, die durch Klebebänder, Gurte oder Kabelbinder miteinander verbunden sind.

Zwischen:
nicht erforderlich

Außen: 
24'x4'x2' Cargo Basket (TYPE 168)"
"D/BAM-1926/17"; "Electric Detonator Z 480"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kisten aus Pappe mit Pappröhren zur Aufnahme je eines Zünders

Zwischen:
nicht erforderlich

Außen:
Kisten aus Pappe (UN4G)"
"D/BAM-1927/17"; "Electric Detonator 1018"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kisten aus Pappe mit Pappröhren zur Aufnahme je eines Zünders

Zwischen:
nicht erforderlich

Außen:
Kisten aus Pappe (UN4G)"
"D/BAM-1928/17"; "Electric Detonator 1019 S"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kisten aus Pappe mit Pappröhren zur Aufnahme je eines Zünders

Zwischen:
nicht erforderlich

Außen:
Kisten aus Pappe (UN4G)"
"D/BAM-1929/17"; "Electric Detonator 0015 FD"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kisten aus Pappe mit Pappröhren zur Aufnahme je eines Zünders

Zwischen:
nicht erforderlich

Außen:
Kisten aus Pappe (UN4G)"
"D/BAM-1931/17"; "Electric Detonator 1019 S"; ""; "1.1B"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1932/17"; "Electric Detonator 1018"; ""; "1.1B"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1933/17"; "Electric Detonator 2026"; ""; "1.1B"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1934/17"; "Electronic Detonator 1015 E HMX"; ""; "1.1B"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1935/17"; "Electric Detonator 0015 FD"; ""; "1.1B"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1426/17"; "Granular S"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: nicht erforderlich

Zwischen: nicht erforderlich

Außen:
Kanister aus Kunststoff mit nicht abnehmbarem Deckel (3H1) mit einem Volumen von mindestens 1 Liter.

Pro Kanister sind maximal 0,5kg NEM enthalten."
"D/BAM-1672/17"; "Nitrocord 6-N"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein.

Es sind keine Innenverpackungen erforderlich, sofern die Gegenstände in Rollen vorliegen."
"D/BAM-1148/17"; "STARTLINE 10"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein.

Es sind keine Innenverpackungen erforderlich, sofern die Gegenstände in Rollen vorliegen."
"D/BAM-1142/17"; "Fragmenting Gun System"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innen:
Unterteilende Trennwände in der Außenverpackung
oder Behälter aus Pappe
oder Hülsen aus Pappe

Zwischen: 
nicht erforderlich

Außen:
Kisten
  aus Naturholz, einfach (4C1)
  aus Naturholz, mit staubdichten Wänden (4C2)
  aus Sperrholz (4D)
  Holzfaserwerkstoff (4F)"
"D/BAM-0243/17"; "Sprenggelatine EBG 945"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff, beinhaltet 25 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G), beinhaltet eine Innenverpackung"
"D/BAM-0870/17"; "Electronic Detonator 1018 ES HNS undElectronic Detonator 1019 E HNS"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Papprohr (Wanddicke mind. 2 mm) mit je einem Zünder


Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (4A),
verstärkt mit 15 mm Sperrholz und 1.5 mm Stahlplatten an beiden Enden der Papprohre"
"D/BAM-0871/17"; "Electronic Detonator 1018 ES HNS undElectronic Detonator 1019 E HNS"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kisten aus Pappe mit Pappröhren (Wanddicke mind. 2 mm) zur Aufnahme je eines Zünders

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)"
"D/BAM-0872/17"; "Electronic Detonator 1018 ES HNS undElectronic Detonator 1019 E HNS"; ""; "1.1B"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-0915/17"; "SPRENGKAPSELN, ELEKTRISCH(siehe Anlage zu diesem Bescheid)"; "Bescheid mit Anlage"; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kisten aus Pappe mit Pappröhren zur Aufnahme je eines Zünders

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)"
"D/BAM-0916/17"; "SPRENGKAPSELN, ELEKTRISCH(siehe Anlage zu diesem Bescheid)"; "Bescheid mit Anlage"; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Aufnahmeblock aus Sperrholz mit
Bohrungen, mit maximal 50 Zündern

Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (4A), mit einer
Innenverpackung"
"D/BAM-0917/17"; "SPRENGKAPSELN, ELEKTRISCH(siehe Anlage zu diesem Bescheid)"; "Bescheid mit Anlage"; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Papprohr mit je einem Zünder

Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (4A),
verstärkt mit 15 mm Sperrholz und 1.5 mm Stahlplatten an beiden Enden der Papprohre"
"D/BAM-0209/17"; "NKP-A"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus elektrisch leitfähigem Kunststoff, beinhaltet nicht mehr als 125g NEM.

Zwischen:
Sack aus Kunststoff, beinhaltet maximal eine Innenverpackung.

Außen:
Kiste aus Pappe (UN4G), mit Unterteilungen aus Wellpappe, jeder Teilbereich beinhaltet maximal eine Zwischenverpackung.

Eine Außenverpackung beinhaltet maximal 1kg NEM."
"D/BAM-0726/17"; "Linear explosive assembly ""Ariane 5 LEA for PLF long"" (P/N P847994)"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein.

Es sind keine Innenverpackungen erforderlich, sofern die Gegenstände in Rollen vorliegen."
"D/BAM-0842/17"; "RS12"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus Kunststoff mit nicht abnehmbarem Deckel (3H1/X4/S/ ... / D/BAM 6707), beinhaltet max. 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)"
"D/BAM-0843/17"; "RS20"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus Kunststoff mit nicht abnehmbarem Deckel (3H1/X4/S/ ... / D/BAM 6707), beinhaltet max. 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)"
"D/BAM-0844/17"; "RS24"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus Kunststoff mit nicht abnehmbarem Deckel (3H1/X4/S/ ... / D/BAM 6707), beinhaltet max. 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)"
"D/BAM-0845/17"; "RS30"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus Kunststoff mit nicht abnehmbarem Deckel (3H1/X4/S/ ... / D/BAM 6707), beinhaltet max. 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)"
"D/BAM-0846/17"; "RS36"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus Kunststoff mit nicht abnehmbarem Deckel (3H1/X4/S/ ... / D/BAM 6707), beinhaltet max. 1,0 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)"
"D/BAM-0847/17"; "RS40"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus Kunststoff mit nicht abnehmbarem Deckel (3H1/X4/S/ ... / D/BAM 6707), beinhaltet max. 1,0 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)"
"D/BAM-0848/17"; "RS50"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus Kunststoff mit nicht abnehmbarem Deckel (3H1/X4/S/ ... / D/BAM 6707), beinhaltet max. 1,0 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)"
"D/BAM-0849/17"; "RS52"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus Kunststoff mit nicht abnehmbarem Deckel (3H1/X4/S/ ... / D/BAM 6707), beinhaltet max. 1,0 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)"
"D/BAM-0850/17"; "RS60"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus Kunststoff mit nicht abnehmbarem Deckel (3H1/X4/S/ ... / D/BAM 6707), beinhaltet max. 1,0 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)"
"D/BAM-0851/17"; "RS62"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus Kunststoff mit nicht abnehmbarem Deckel (3H1/X4/S/ ... / D/BAM 6707), beinhaltet max. 1,0 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)"
"D/BAM-0852/17"; "RS70"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Kanister aus Kunststoff mit nicht abnehmbarem Deckel (3H1/X4/S/ ... / D/BAM 6707), beinhaltet max. 1,0 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (4G)"
"D/BAM-0559/17"; "Zündverstärker ISL 1"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Befristung:
Der Bescheid verliert seine Gültigkeit mit Ablauf des Temporal limitation:
The notice will become invalid by the end of  2017-06-30."
"D/BAM-0911/17"; "Wachspapier mit TNT-Anhaftungen(max. 5 Masse-% TNT)"; ""; "1.4D"; "In folgender besonderen Verpackung:
 Innen:		
Sack aus Kunststoff mit maximal 17,0 kg Bruttoinhalt

Zwischen:	
nicht erforderlich

Außen:	
Kisten aus Pappe (4G) mit maximal einer Innenverpackung"
"D/BAM-0374/17"; "Vihtavuori Treibladungspulver(siehe Anlage zu diesem Bescheid)"; "Bescheid mit Anlage"; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Kunststoff (1350 ml Volumen) mit maximal 1,0 kg NEM

Zwischen:
keine

Außen:
Kiste aus Pappe (UN4G), beinhaltet 6 Innenverpackungen in zwei Reihen nebeneinander in einer 2x3 Konfiguration. Eine Außenverpackung beinhaltet maximal 6 kg NEM."
"D/BAM-0412/17"; "Gefechtsköpfe Milan"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innen:
nicht erforderlich

Zwischen:
nicht erforderlich

Außen:
UN4C1/Y67/S/01/D/BAM 9848-DVG, behinhaltet 8 Gegenstände mit insgesamt max. 14,8Kg NEM. 

Die Leerräume in der Verpackung sind mit Verpackungsmaterial aufgefüllt."
"D/BAM-0857/17"; "25 Cal Neck-Down(siehe Anlage zu diesem Bescheid)"; "Bescheid mit Anlage"; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Kiste aus Pappe, beinhaltet einen Beutel mit 1\,000 Patronen.

Zwischen:
nicht erforderlich

Außen:
4G/Y15/S/15 USA/M5547, beinhaltet 10 Innenverpackungen mit insgesamt 10\,000 Patronen und max. 3,9 kg NEM"
"D/BAM-0858/17"; "22 Cal Neck-Down(siehe Anlage zu diesem Bescheid)"; "Bescheid mit Anlage"; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Kiste aus Pappe, beinhaltet einen Beutel mit 1\,000 Patronen.

Zwischen:
nicht erforderlich

Außen:
4G/Y15/S/15 USA/M5547, beinhaltet 10 Innenverpackungen mit insgesamt 10\,000 Patronen und max. 2,6 kg NEM"
"D/BAM-0520/17"; "Austinite"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Es sind keine Innenverpackungen erforderlich, wenn als Außenverpackungen dichte Fässer mit abnehmbaren Deckel verwendet werden oder sofern der explosive Stoff in einem flüssigkeitsundurchlässigem Werkstoff enthalten ist.

Metallene IBCs sind nicht zugelassen.

Zusätzlich zum Sprengstofftyp ist auf dem Versandstück der Handelsname des Sprengstoffes anzugeben."
"D/BAM-3323/16"; "Dynadet-C2-0ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff, mit nicht mehr als 10 Sprengkapseln in einem Verpackungsschuh aus Kunststoff. Der Verpackungsschuh muss der Zeichnung Transportkassett 3.95042, Index C entsprechen. Die Sprengkapseln liegen an der verstärkten kurzen Seite der Außenverpackung. Die Verstärkung besteht aus zwei L-Profilen (VB1xPE1560g/m2), welche die kurze Seite der Außenverpackung komplett abdecken und zusätzlich mindestens 120 mm jeder langen Seite.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G/Y28/S/YR/S/SP-11 74 12-ID)"
"D/BAM-3324/16"; "Dynadet-C2-25ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff, mit nicht mehr als 10 Sprengkapseln in einem Verpackungsschuh aus Kunststoff. Der Verpackungsschuh muss der Zeichnung Transportkassett 3.95042, Index C entsprechen. Die Sprengkapseln liegen an der verstärkten kurzen Seite der Außenverpackung. Die Verstärkung besteht aus zwei L-Profilen (VB1xPE1560g/m2), welche die kurze Seite der Außenverpackung komplett abdecken und zusätzlich mindestens 120 mm jeder langen Seite.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G/Y28/S/YR/S/SP-11 74 12-ID)"
"D/BAM-3325/16"; "Dynadet-C2-250ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff, mit nicht mehr als 10 Sprengkapseln in einem Verpackungsschuh aus Kunststoff. Der Verpackungsschuh muss der Zeichnung Transportkassett 3.95042, Index C entsprechen. Die Sprengkapseln liegen an der verstärkten kurzen Seite der Außenverpackung. Die Verstärkung besteht aus zwei L-Profilen (VB1xPE1560g/m2), welche die kurze Seite der Außenverpackung komplett abdecken und zusätzlich mindestens 120 mm jeder langen Seite.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G/Y28/S/YR/S/SP-11 74 12-ID)"
"D/BAM-3326/16"; "Dynadet-C4-0ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff, mit nicht mehr als 10 Sprengkapseln in einem Verpackungsschuh aus Kunststoff. Der Verpackungsschuh muss der Zeichnung Transportkassett 3.95042, Index C entsprechen. Die Sprengkapseln liegen an der verstärkten kurzen Seite der Außenverpackung. Die Verstärkung besteht aus zwei L-Profilen (VB1xPE1560g/m2), welche die kurze Seite der Außenverpackung komplett abdecken und zusätzlich mindestens 120 mm jeder langen Seite.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G/Y28/S/YR/S/SP-11 74 12-ID)"
"D/BAM-3327/16"; "Dynadet-C4-25ms"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff, mit nicht mehr als 10 Sprengkapseln in einem Verpackungsschuh aus Kunststoff. Der Verpackungsschuh muss der Zeichnung Transportkassett 3.95042, Index C entsprechen. Die Sprengkapseln liegen an der verstärkten kurzen Seite der Außenverpackung. Die Verstärkung besteht aus zwei L-Profilen (VB1xPE1560g/m2), welche die kurze Seite der Außenverpackung komplett abdecken und zusätzlich mindestens 120 mm jeder langen Seite.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G/Y28/S/YR/S/SP-11 74 12-ID)"
"D/BAM-3331/16"; "Exel MS"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff, mit nicht mehr als 10 Sprengkapseln in einem Verpackungsschuh aus Kunststoff. Der Verpackungsschuh muss der Zeichnung Transportkassett 3.95042, Index C entsprechen. Die Sprengkapseln liegen an der verstärkten kurzen Seite der Außenverpackung. Die Verstärkung besteht aus zwei L-Profilen (VB1xPE1560g/m2), welche die kurze Seite der Außenverpackung komplett abdecken und zusätzlich mindestens 120 mm jeder langen Seite.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe"
"D/BAM-3332/16"; "Exel LP"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff, mit nicht mehr als 10 Sprengkapseln in einem Verpackungsschuh aus Kunststoff. Der Verpackungsschuh muss der Zeichnung Transportkassett 3.95042, Index C entsprechen. Die Sprengkapseln liegen an der verstärkten kurzen Seite der Außenverpackung. Die Verstärkung besteht aus zwei L-Profilen (VB1xPE1560g/m2), welche die kurze Seite der Außenverpackung komplett abdecken und zusätzlich mindestens 120 mm jeder langen Seite.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe"
"D/BAM-3337/16"; "Exel LP"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff, mit nicht mehr als 10 Sprengkapseln in einem Verpackungsschuh aus Kunststoff. Der Verpackungsschuh muss der Zeichnung Transportkassett 3.95042, Index C entsprechen. Die Sprengkapseln liegen an der verstärkten kurzen Seite der Außenverpackung. Die Verstärkung besteht aus zwei L-Profilen (VB1xPE1560g/m2), welche die kurze Seite der Außenverpackung komplett abdecken und zusätzlich mindestens 120 mm jeder langen Seite.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G/Y28/S/YR/S/SP-11 74 12-ID)"
"D/BAM-3366/16"; "Exel MS"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff, mit nicht mehr als 10 Sprengkapseln in einem Verpackungsschuh aus Kunststoff. Der Verpackungsschuh muss der Zeichnung Transportkassett 3.95042, Index C entsprechen. Die Sprengkapseln liegen an der verstärkten kurzen Seite der Außenverpackung. Die Verstärkung besteht aus zwei L-Profilen (VB1xPE1560g/m2), welche die kurze Seite der Außenverpackung komplett abdecken und zusätzlich mindestens 120 mm jeder langen Seite.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G/Y28/S/YR/S/SP-11 74 12-ID)"
"D/BAM-3926/16"; "Andex"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innen:
Säcke aus
  Papier, wasserbeständig und ölbeständig
  Kunststoff
  Textilgewebe, mit Auskleidung oder Beschichtung Kunststoff
  Kunststoffgewebe, staubdicht

Behälter aus
  Pappe, wasserbeständig
  Metall
  Kunststoff
  Holz, staubdicht

Einwickler aus
  Papier, wasserbeständig
  Wachspapier
  Kunststoff

Zwischen:
  nicht erforderlich
-------------------
Außen:
  Säcke aus
  Kunststoffgewebe (5H1, 5H2, 5H3)
  Papier, mehrlagig, wasserbeständig (5M2)
  Kunststofffolie (5H4)
  Textilgewebe, staubdicht (5L2)
  Textilgewebe, wasserbeständig (5L3)

Kisten aus
  Stahl (4A)
  Aluminium (4B)
  einem anderen Metall (4N)
  Naturholz, einfach (4C1)
  Naturholz, mit staubdichten Wänden (4C2)
  Sperrholz (4D)
  Holzfaserwerkstoff (4F)
  Pappe (4G)
  starrem Kunststoff (4H2)

Fässer aus
  Stahl (1A1, 1A2)
  Aluminium (1B1, 1B2)
  einem anderen Metall (1N1, 1N2)
  Sperrholz (1D)
  Pappe (1G)
  Kunststoff (1H1, 1H2)

Kanister aus
  Stahl (3A1, 3A2)
  Kunststoff (3H1, 3H2)

Nebenbestimmungen:
 Es sind keine Innenverpackungen erforderlich, wenn als Außenverpackungen dichte Fässer mit abnehmbaren Deckel verwendet werden oder sofern der explosive Stoff in einem flüssigkeitsundurchlässigem Werkstoff enthalten ist.

Zusätzlich zum Sprengstofftyp ist auf dem Versandstück der Handelsname des Sprengstoffes anzugeben."
"D/BAM-3927/16"; "Nitrocord 6"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innen:
Säcke aus
  Kunststoff

Behälter aus
  Pappe
  Metall
  Kunststoff
  Holz

Spulen

Einwickler aus
  Kraftpapier
  Kunststoff

Zwischen:
nicht erforderlich
---------------------------
Außen:
Kisten aus
  Stahl (4A)
  Aluminium (4B)
  einem anderen Metall (4N)
  Naturholz, einfach (4C1)
  Naturholz, mit staubdichten Wänden (4C2)
  Sperrholz (4D)
  Holzfaserwerkstoffen (4F)
  Pappe (4G)
  massiven Kunststoffen (4H2)

Fässer aus
  Stahl (1A1, 1A2)
  Aluminium (1B1, 1B2)
  einem anderen Metall (1N1, 1N2)
  Sperrholz (1D)
  Pappe (1G)
  Kunststoff(1H1, 1H2)

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein.

Es sind keine Innenverpackungen erforderlich, sofern die Gegenstände in Rollen vorliegen."
