Titel;Stadtbezirk;Projektfamilie;Themenfeld;Nummer;Projektgeneration;Nordwärts-Prämiert;Status;Kurzbeschreibung;Straße;Hausnummer;Unterbezirk Nr.;Unterbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Stadtbezirk Nr.;Stadtbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum;Ostwert;Hochwert;Geografische Koordinaten;Kommune
NebenAn - Nachbarschaft und mehr;Mengede;Soziales;Infrastrukturen\Soziales;251;A;;gestartet/läuft;"Installation einer Anlaufstelle für Familien des Quartiers als Beratungsangebot für alle Fragen des Alltags, sowie Schaffung einer Spiel- und Treffmöglichkeiten mit Hausaufgabenbetreuung für Kinder und Jugendliche.

Sachstand 05/2018: Das Projekt hat mehrere Entwicklungsstufen und Veränderungen durchlaufen. Zur Zeit laufen sowohl Verhandlungen um ein Ladenlokal anzumieten, als auch Ausschreibungsvorbereitungen, um einen freien Träger für die Durchführung zu gewinnen. Ebenso sind Verhandlungen zur Sicherstellung der Finanzierung auf einem guten Weg. Jedoch sind die Verhandlungen nicht abgeschlossen.

Sachstand 02/2020: Der Nachbarschaftstreff soll im April 2020 eröffnet werden.

Sachstand 07/2021: Das Nachbrschaftszentrum wurde im August 2020 eröffnet und im Oktober 2020 wurden Bewegungskurse für Kinder angeboten. Durch die Corona-Pandemie konnte das Angebot zwischen November 2020 und Juni 2021 nicht stattfinden. Seit Ende Juni werden die Angebote wieder durchgeführt. An den Bewegungskursen können aufgrund des Hygienekonzeptes bis zu sechs Kinder an den Kursen teilnehmen.

Sachstand 06/2021: Das Nachbrschaftszentrum wurde im August 2020 eröffnet und im Oktober 2020 wurden Bewegungskurse für Kinder angeboten. Durch die Corona-Pandemie konnte das Angebot zwischen November 2020 und Juni 2021 nicht stattfinden. Seit Ende Juni werden die Angebote wieder durchgeführt. An den Bewegungskursen können aufgrund des Hygienekonzeptes bis zu sechs Kinder an den Kursen teilnehmen.

Sachstand 07/2022: Das Projekt ""NebenAN"" hat sich mittlerweile im Ortskern von Westerfilde als Anlaufstelle für Familien etabliert. Es werden Angebote für Familien und Kinder bereitgestellt. Auch Beratungsangebote durch Dritte  werden durchgeführt.Aus Mitteln von Nordwärts werden extern durchgeführte Bewegungsangebote für Vorschulkinder und ihre Eltern finanziert, die durch den Stadtsportbund angeboten werden. Ohne Finanzierung könnte das attraktive Angebot nicht durchgeführt werden.

Sachstand 08/2023: Das Projekt läuft weiterhin sehr gut. Viele Familien nehmen die diversen Angebote wahr. Bei den Bewegungsangeboten nehmen zwischen 4 und 10 Kinder teil. Es wird angestrebt eine Verlängerung bei Nordwärts für die Jahre 2024 und 2025 zu beantragen.

Sachstand 03/2025: Das durch das DW und in Kooperartion mit dem Netzwerk INFamilie umgesetzte ""NebenAn"" wird nach wie vor engagiert betrieben. Erfolgreiche Projekte sind zur Zeit: Herkunftsprachliche Elternbegleiter*innen; eine Tauschbar; Griffbereit-Kurs; Nähkurs; internationales Kochen; Heimat Verein; Malkurs, Eltern Stärken International. 51/7 fördert NebeAn derzeit mit 19.000,00 €.";Speckestraße;1;960;Westerfilde;960;Westerfilde;9;Mengede;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde;387474.29;5711833.539999999;51.5463638336, 7.3771936424;Dortmund
Neue bezahlbare Wohnungen für Deutschland;Stadtbezirksübergreifend/gesamte Gebietskulisse;Zivilgesellschaft;Arbeit;964;B (4);;noch nicht begonnen;"Ausbilden von Langzeitarbeitslosen Bauhandwerkern zu Ausbildern, die im Projekt 16i vom Jobcenter sind. Als Ausbilder bilden sie Arbeitslose zu Facharbeiter im Bauhandwerk aus. Die Praxis erhalten sie bei Renovierungen von Wohnungen, Häusern der Stadt Dortmund. Auf diese Weise entstehen kostengünstig neue soziale Wohnungen

Sachstand 08/2022: Projekt hat weiterhin noch nicht begonnen.

Sachstand 03/2025: Projekt hat weiterhin noch nicht begonnen.";Mallinckrodtstraße;13;054;Nordmarkt-Ost;050;Nordmarkt;20;Innenstadt-Nord;022;Nordmarkt;022;Nordmarkt;393929.1166666666;579412.76666665;51.5258545401, 7.4709755311;Dortmund
NORDSTERN - Der Unternehmenswettbewerb;Stadtbezirksübergreifend/gesamte Gebietskulisse;Ökonomie;Arbeit;858;B;;gestartet/läuft;"Sachstand 02/2025: Den NORDSTERN wird es im Rahmen des Projektes ""nordwärts"" bis Ende des Jahres 2025 geben. Das Unternehmensdienstleistungs-Vergabeverfahren erfolgte im Jahr 2021 zugunsten der Fa. ProPlan. So wird auch in den Folgejahren die erfolgversprechende Beratung und das persönliche Coaching durch Herrn Frank Lunke durchgeführt. 
Der Wettbewerb 2025 ist im Januar planmäßig gestartet, interessierte Unternehmen werden bereits gecoacht. Weitere Unternehmen können sich in Stellung bringen und für den Wettbewerb anmelden.

Sachstand 05/2025: Die Abschlussveranstaltung des Wettbewerbes 2024 fand am 09. Mai 2025 in der Salzlager-Lounge der Kokerei Hansa statt. Bürgermeister Schilff zeichnete die Teilnehmenden und die Gewinner*innen aus. Der Wettbewerb 2025 ist in vollem Gange, die teilnehmenden Unternehmen werden derzeit gecoachst, beraten und fit gemacht. Die Prämierung der diesjährigen NORDSTERNe wird voraussichtlich im Dezember 2025 durchgeführt.";CARL-HOLTSCHNEIDER-STRASSE;14;053;Nordmarkt-West;050;Nordmarkt;20;Innenstadt-Nord;022;Nordmarkt;022;Nordmarkt;393328.4999999999;579775.39999999;51.5290006426, 7.4622110984;Dortmund
Nutzungskonzept für das Forsthaus im Rahmer Wald;Mengede;Ökologie;Infrastrukturen\Umwelt/Grün;886;B (2);;umgesetzt/abgeschlossen;"Das Forsthaus im Rahmer Wald wird saniert und zu einem naturverbundenen, außerschulischen Lernort entwickelt.


Sachstand 09/2019: Herr Oberbürgermeister Ullrich Sierau hat den Nutzern am 28.08.19 offiziell die Schlüssel zum Forsthaus Rahm übergeben. Am 15.09.19 wurde die Eröffnung am Forsthaus gefeiert.";Buschstraße;185;960;Westerfilde;960;Westerfilde;9;Mengede;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde;38866.63;571889.119999999;51.5379931031, 7.38603245911;Dortmund
Quartiersentwicklung Alte Kolonie Eving;Eving;Ökonomie;Stadtentwicklung;757;A;;gestartet/läuft;"Siedlungsbereich gehört zum Untersuchungsgebiet des interkommunalen Handlungskonzepts Siedlungskultur im Ruhrgebiet; Verknüpfung mit dem Projekt nordwärts wäre wünschenswert, Friesen-, Jahnstr. etc., 663 Wohneinheiten

Sachstand 04/2018: Projekte in 2017 gestartet unter der Prämisse des Erhaltes des Siedlungscharme.

Sachstand 03/2020: Sukzessive Modernisierung/Aufwertung des Siedlungsbereiches (Fassadenanstrich, energetische Modernisierung, Anbau von Balkonen) in mehreren Bauabschnitten unter Beibehaltung des städtebaulichen Erscheinungsbildes. Das Farbkonzept wurde mit der Denkmalbehörde abgestimmt.

Sachstand 06/2021:Die Modernisierung des Quartiers ist gestartet. Es wurden bereits ca. 355 Wohnungen modernisiert. Aktuell läuft die Modernsierung von 91 weiteren Wohnungen. Im Jahr 2022 möchten wir die Modernsierung im Quartier fortführen. 

Sachstand 08/2023: Beginn der Modernisierungs-Maßnahmen im Jahr 2021. Die ersten Straßen sind mittlerweile fertiggestellt. Weitere Modernisierungen sind bis einschließlich 2025 geplant. 

Sachstand 03/2025: Ca. 80 % des Quartiers sind bereits modernisiert. Bei weiteren vier Gebäuden mit 24 Einheiten wird in 2025 die energetische Hülle modernisiert. Die restlichen Gebäude sind in Planung für eine Umsetzung in 2026. Parallel soll eine Quartierslösung zur zukünftigen Wärmeversorgung erarbeitet werden.";Jahnstraße;1;121;Niedereving;120;Eving;1;Eving;042;Lindenhorst/Eving II;042;Lindenhorst/Eving II;39347.4999999976;5712281.499999999;51.5514740523, 7.45739367831;Dortmund
Quartiersentwicklung Dorstfeld;IN-WEST;Soziales;Wohnen;750;A;;umgesetzt/abgeschlossen;"Energetische Modernisierung + Balkonanbau/-erweiterung, 12 Wohneinheiten, Fine Frau 87

Sachstand 04/2018: Maßnahme vollständig abgeschlossen WDVS, Fenster, Balkonsanierung, Treppenhaus, Eingangsbereich. Weitere Projekte mit 98 Einheiten fertiggestellt oder in Ausführung (Fine Frau, Am Hartweg, Am Rode, Anneweihstr)";Fine Frau;87;033;Oberdorstfeld;030;Dorstfeld;10;Innenstadt-West;014;Dorstfeld;014;Dorstfeld;388862.91999999987;57666.159999999;51.5001397962, 7.39884348825;Dortmund
Quartiersentwicklung für ein gutes Leben im Alter – Bauprojekt Meuselwitzstraße 43;Scharnhorst;Soziales;Infrastrukturen\Soziales;892;B (2);;umgesetzt/abgeschlossen;"Geplant ist der Bau eines Hauses, das zukünftig eine Demenz-Wohngemeinschaft mit 12 Plätzen, eine Tagespflege mit 17 Plätzen und zwei Wohnungen beherbergen soll. Mit dem Bau eines Sinnesgartens möchten wir den Bewohnern ein besonderes Angebot bieten und den geäußerten Wünschen im Beteiligungsverfahren von ""nordwärts"" gerecht werden.

Sachstand 03/2018: Demenz-WG und Tagespflege wurden am 23.03.2018 eröffnet. Der hinter dem Haus entstehende Sinnesgarten befindet sich in Arbeit und wird von ""nordwärts"" finanziell unterstützt.

Sachstand 04/2020: Das Diakonische Werk Dortmund und Lünen gGmbH hat im Rahmen dieses ""nordwärts""-Teilprojektes eine Markise, einen Sonnenschirm, Sitzpolster und ein Gartenhaus beantragt und genehmigt bekommen. Diese beantragten Anschaffungen sind angeschafft worden und werden sehr gerne von den Gästen der Tagespflege genutzt. Das Projekt ist als umgesetzt anzusehen.";Meuselwitzstraße;43;261;Msa-Siedlung;260;Alt-Scharnhorst;2;Scharnhorst;053;Alt-Scharnhorst;;;39811.87;571236.589999999;51.5531222199, 7.53038087632;Dortmund
Quartiersentwicklung Hansemannsiedlung;Mengede;Ökonomie;Stadtentwicklung;755;A;;in Vorbereitung/Prüfung von Rahmenbedingungen/Projektskizze erstellt;"Siedlungsbereich gehört zum Untersuchungsgebiet des interkommunalen Handlungskonzepts Siedlungskultur im Ruhrgebiet; Verknüpfung mit dem Projekt nordwärts wäre wünschenswert

Sachstand 04/2018: In Planung für 2020.

Sachstand 05/2019: Siehe Sachstandsbericht 2018. Projekt in Planung für 2020.

Sachstand 03/2020: Kein neuer Sachstand, voraussichtlicher Projektstart im Laufe des Jahres 2020.

Sachstand 07/2021: Bislang sind in dem Quartier keine Modernsisierungen gestartet. Beginnen möchten wir voraussichtlich im kommenden Jahr. Darüber hinaus sind weitere Modernsierungen in der Planung. 

Sachstand 08/2023: Aktuell wird gepüft, ob Teile des Quartiers in 2024 an das Fernwärmenetz der Fernwärme Niederrhein angeschlossen werden können. Die energetische Sanierung des gesamten Quartiers über 2024 hinaus befindet sich in der Planung. 

Sachstand 03/2025: Bisher konnten keine Maßnahmen im Quartier angestoßen werden. Die Planungen für die Modernisierung der energetischen Hülle der Mehrfamilienhäuser im Siedlungsbereich werden jetzt wieder aufgenommen. Parallel soll mit der Fernwärme Niederrhein die Erschließung und Versorgung der Gebäude mit Fernwärme besprochen werden.";Donarstraße;26;924;Alte Kolonie;920;Mengede;9;Mengede;123;Nette;123;Nette;388174.891;5713627.389999999;51.562626369, 7.38672271378;Dortmund
Quartiersentwicklung Huckarde;Huckarde;Soziales;Wohnen;752;A;;umgesetzt/abgeschlossen;"Energetische Modernisierung + Balkonanbau; Fortsetzung der MOD im Quartier Eckener Str., Zeppelinstr.; 44 Wohneinheiten

Sachstand 04/2018: Maßnahme vollständig abgeschlossen WDVS, Fenster, Balkone, Treppenhaus, Eingangsbereich. Weitere Projekte mit 759 Einheiten in ganz Huckarde fertiggestellt oder in Ausführung (u. a. Eisheiligensiedlung, Ostgotensiedlung).";Eckenerstraße;1;821;Mailoh;820;Huckarde;8;Huckarde;111;Deusen/Huckarde;;;389937.853;571696.489999999;51.5366296779, 7.41306300703;Dortmund
Quartiersentwicklung Mengede;Mengede;Soziales;Wohnen;754;A;;umgesetzt/abgeschlossen;"Energetische Modernisierung in den Bereichen Schragmüllerstr., Emsinghofstr. etc. - 75 Wohneinheiten

Sachstand 04/2018: Maßnahme vollständig abgeschlossen WDVS, Fenster, Balkone, Treppenhaus, Eingangsbereich. Weitere Projekte mit 111 Einheiten in Mengede fertiggestellt oder in Ausführung.";Emsinghofstraße;3;940;Oestrich;940;Oestrich;9;Mengede;122;Mengede/Oestrich/Schwieringhausen;;;38779.9599999999;5714251.759999999;51.56802003, 7.37073262184;Dortmund
Quartiersentwicklung Speicherstraße;IN-NORD;Ökonomie;Stadtentwicklung;332;B;;gestartet/läuft;"Entwicklungsschwerpunkt für Dortmund und die Nordstadt

Der Dortmunder Hafen ist ein Industrie- und Logistikstandort von internationaler Bedeutung. Mit der Entwicklung der nördlichen und südlichen Speicherstraße sowie der damit verbundenen städtebaulichen Öffnung des Hafenquartiers, wird der klassische Hafen um urbane Nutzungen erweitert und neue Arbeits- und Freizeitqualitäten für die angrenzende Nordstadt geschaffen. Mit seinen historischen und hafentypischen Merkmalen, insbesondere der Lage am Wasser, birgt der Hafen ein enormes Entwicklungspotenzial für bis zu 5.000 neue Arbeitsplätze entlang der Speicherstraße.

Sachstand 01/2018: Die Neuentwicklung des Hafenquartiers Speicherstraße hat im Jahr 2017 deutlich an Geschwindigkeit zugenommen: Der Rahmenplan wurde vom Rat der Stadt Dortmund beschlossen, Interessenbekundungsverfahren für zwei Grundstücke wurden gestartet und mit den Kanalbauarbeiten haben erste Infrastrukturmaßnahmen begonnen. Der Entwicklungsprozess ist somit auch vor Ort erkennbar. Parallel wurden zur Umsetzung der Gestaltung der öffentlichen Räume sowie des Heimathafens Ausschreibungen durchgeführt. 2018 werden die ersten Grundstücksverkäufe abgeschlossen und der Verkauf weiterer Grundstücke gestartet. Zudem werden Teile der Speicherstraße erneuert.

Sachstand 06/2018: Das Projekt befindet sich im „Abarbeitungsmodus“. Bezug der Gebäude ab 2020 zu erwarten (blockweise unterschiedlich). Spillover-Effekte in die Nachbarquartiere. Gewerbe im urbanen Raum gilt als Standortvorteil. 

Sachstand 02/2020: Die Speicherstraße im funktionierenden Bereich des Industriehafens ist eine der wesentlichen Herausforderungen, um auch diesen Teil der Nordstadt für die Bewohnerinnen und Bewohner zu öffnen. Unter Berücksichtigung von Barrierefreiheit und unter ökologischen Gesichtspunkten wird der öffentliche Raum ganz neu gestaltet. Im ersten Schritt werden der multifunktional nutzbare Platz im Bereich des „Santa Monika“ Anlegers, die wasserseitige Promenade, der zentrale Platz zwischen den Speichergebäuden sowie die Grünbereiche zur Mallinckrodtstraße/ OWIIIA und zur Lagerhausstraße hergerichtet. Der Ausführungsbeschluss - Federführung 67 - befindet sich im Gremienlauf.

Der aktuelle Stand kann dem neuen Projektsteckbrief entnommen werden.

Sachstand 06/2021: Durch bestehende Bezüge zu dem Projekt 340 ""FabLabHafen"" wird derzeit ein Zusammenschluss geprüft

Sachstand 07/2022: Südliche Speicherstraße ist nahezu vollständig vermarktet (es fehlt nur noch Speicherstraße 21). Entwicklung nördliche Speicherstraße tritt in den Fokus. Hier wird mit Zwischennutzungen (Umschlagplatz, Bergmann.Brauerei, Hall of Fame, Blühwiesen) die Fläche bereits geöffnet und in den Fokus gestallt. Aufstellung Bebauungsplan als wichtiger Meilenstein.

Sachstand 08/2023: Der jeweilige aktuelle Sachstand kann auf folgender Homepage abgerufen werden www.speicherstrasse.com. 

Sachstand 03/2025: Mit der Entwicklung der Speicherstraße und der damit verbundenen städtebaulichen Öffnung des Hafenquartiers wird der klassische Hafen in einem Randbereich um urbane Nutzungen erweitert. Ziel ist die Schaffung eines lebendigen Quartiers mit digitalem Schwerpunkt und eigenständigem Charakter. Schon heute wird das zukünftige Erscheinungsbild der Speicherstraße durch bereits realisierte Vorhaben, wie dem Fraunhofer-Institut für Software- und Systemtechnik ISS, der Akademie für Theater und Digitalität oder dem Lensing Media Port in der südlichen Speicherstraße sichtbar. Auch auf der rund 10 ha großen Entwicklungsfläche in der nördlichen Speicherstraße ist die Vermarktung, unter dem Motto „Quartier für Alle“ und auf Grundlage des beschlossenen Bebauungsplans, bereits angelaufen. Weitere Informationen findet man hier: https://speicherstrasse.com/";Speicherstraße;25;041;Hafen;040;Hafen;20;Innenstadt-Nord;021;Hafen;021;Hafen;392452.24;579568.85;51.5269786338, 7.44964366001;Dortmund
Quartiersentwicklung Westerfilde;Mengede;Ökonomie;Stadtentwicklung;756;A;;umgesetzt/abgeschlossen;"Handlungskonzept für Quartier (Freiflächen-, Fassadenkonzept, etc.), ca. 600 Wohneinheiten

Sachstand 04/2018: Baubeginn März 2018: Austausch Einrohr- gegen Zweirohrheizung, Erneuerung sämtl. Bäder, Balkonsanierung, Flachdacherneuerung und Dämmung, Treppenhäuser, barrierefreie Eingangsbereich, Conciergelösung, Tiefgaragensanierung, Wohnumfeld, Fassadenkonzept ""Stadtteil der 1000 Gärten"".

Sachstand 05/2019: Wohnraumfördermittel des Landes NRW zur Modernisierung von 106 Wohnungen wurden 2017 i. H. v. 3,4 Mio. € bewilligt. Nach Umsetzung der Maßnahmen unterliegen diese Wohnungen für eine Laufzeit von 15 Jahren Mietpreisbindungen. Zusätzlich werden vier Wohnungen im Eingangsbereich der Häuser Gerlachweg 7+9 für einen kontrollierten und barrierefreien Hauszugang mit Empfang durch Concierge umgebaut. Fertigstellung voraussichtlich Ende 2019.

Sachstand 03/2020: Fertigstellung der mit öffentlichen Mitteln geförderten Modernisierungsarbeiten an den Objekten Gerlachweg 3-9, 4-16 und Speckestr. 12-24 voraussichtlich im Frühjahr 2020.

Sachstand 07/2021: Alle Modernsierungs-Arbeiten sind abgeschlossen. Einzig die Concierge- und Wohnumfeldarbeiten unmittelbar vor dem Concierge werden aktuell noch ausgeführt. Fertigstellung spätestens im September 2021.

Sachstand 08/2023: Der Concierge-Anbau wurde im Jahr 2021 fertig gstellt. Der Concierge-Service mit 40 Wochenstunden wurde am 04.08.2022 eröffnet (coronabedingt später als ursprünglich geplant). Das Projekt bzw. die Modernisierungs-Maßnahmen sind damit erfolgreich abgeschlossen (u.a. Austausch Einrohr- gegen Zweirohrheizung, Erneuerung Bäder, Balkonsanierung, Flachdacherneuerung und Dämmung, Treppenhäuser, barrierefreie Eingangsbereiche, Conciergelösung, Tiefgaragensanierung, Wohnumfeld). Aktuell wird geprüft, ob das Quartier in 2024 an das Fernwärmenetz der Fernwärme Niederrhein angeschlossen werden kann. Ausstehend ist noch der finale Anschluss an den Salz- und Pfefferweg durch die Stadt.";Gerlachweg;3;960;Westerfilde;960;Westerfilde;9;Mengede;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde;387298.39999999985;5711844.679999999;51.5464288585, 7.37465454752;Dortmund
Quartierservice;IN-NORD;Soziales;Infrastrukturen\Soziales;127;A;;gestartet/läuft;"Täglicher Präsenzdienst und Begehung der jeweiligen Stadtteile (Routen durch Parks, Spielplätze, Wohngebiete etc.), Grünbau

Sachstand 04/2018: Projekt von GrünBau analog Quartierskümmerer.

Sachstand 02/2020: Das Projekt Quartierservice läuft unverändert weiter. Zusätzlich sind an das Projekt nun noch 3 umweltfreundliche Lastenräder angedockt, die über das Projekt verwaltet und interessierten Projekten/Institutionen aus der Nordstadt leihweise zur Verfügung gestellt werden. Spätestens im Sommer kommt noch eine mobile Quartiersbühne hinzu, die ebenfalls Nordstadtbewohner*innen für Straßenfeste oder andere Veranstaltungen zur Verfügung stehen wird.

Sachsatnd 06/2021: Das Projekt läuft genauso wie beschrieben weiter. Das Projekt wird seit 10 Jahren alle 18 Monate beim Jobcenter Dortmund neu beantragt. Die aktuelle Laufzeit geht bis zum 31.12.2021.

Sachstand 08/2022: Das Projekt läuft genauso wie beschrieben weiter.

Sachstand 06/2023: Die Quartiershausmeister der Dortmunder Nordstadt mit ihren roten Westen sind stets gut zu erkennen.Sie spielen eine wichtige Rolle im Quartiersservice und übernehmen eine Vielzahl von Aufgaben, um das Viertel zu unterstützen und zu verbessern. Zu den Hauptaufgaben der Quartiershausmeister gehören die Unterstützung und Hilfe bei bürgerschaftlichen Aktionen. Sie stehen den Bewohnern zur Seite und sorgen dafür, dass diese Aktionen reibungslos ablaufen. Sie helfen bei Stadtteilfesten, helfen Schulen und Kitas bei ihren Aktionen. Darüber hinaus arbeiten sie eng mit der Entsorgung Dortmund GmbH (EDG) zusammen, um zusätzliche Sauberkeitsaktionen durchzuführen. Sie tragen dazu bei, dass öffentliche Bereiche sauber und ansprechend sind.
Ein weiterer wichtiger Aspekt ihrer Arbeit besteht darin, kleinere Instandhaltungsmaßnahmen im öffentlichen Raum durchzuführen oder zu unterstützen. Dies umfasst beispielsweise Reparaturen von Spielgeräten, Bänken oder anderen öffentlichen Einrichtungen. Indem sie diese Aufgaben übernehmen, tragen die Quartiershausmeister zur Erhaltung und Verbesserung der Infrastruktur bei.
Die Quartiershausmeister nehmen Anregungen und Vorschläge aus der Nachbarschaft auf und koordinieren ihre Aktivitäten mit verschiedenen Interessengruppen wie der Bezirksvertretung, engagierten Bewohnern, Netzwerken, Vereinen und Multiplikatoren. Durch diese Zusammenarbeit stellen sie sicher, dass ihre Arbeit den Bedürfnissen und Wünschen der Gemeinschaft entspricht. Diese Zusammenarbeit ermöglicht eine koordinierte und ganzheitliche Herangehensweise an die Quartiersentwicklung und die Förderung des Viertels.

Sachstand 03/2025: Das Projekt Quartierservice läuft unverändert weiter. Unser Quartiersservice übernimmt eine Vielzahl von Aufgaben, um das Viertel weiter zu unterstützen und zu verbessern. Sie zeigen täglicher Präsenz und Begehung der jeweiligen Stadtteile. Die seit 2020 angeschaffte Stadtteilbühne ist auch regelmäßig bei Veranstaltungen im Einsatz.";Unnaer Straße;44;061;Borsigplatz;060;Borsigplatz;20;Innenstadt-Nord;023;Borsigplatz;023;Borsigplatz;39436.45999999985;579253.659999999;51.5245058053, 7.47723872571;Dortmund
