;;;;;;;;;;
Haftungsausschluss und Copyright;;;;;;;;;;
"Aufgrund der technischen Merkmale des Internet kann die Zertifizierungsstelle keine Gewähr für die Vollständigkeit und Richtigkeit der hier eingestellten Informationen übernehmen. Sie sollten deshalb die Richtigkeit der hier präsentierten Informationen überprüfen, insbesondere wenn sie als Grundlage für Vertragsabschlüsse dienen. 
Diese Informationen dürfen gespeichert, weitergeben und vervielfältigt, jedoch nicht verändert werden. Bei Weitergabe und Vervielfältigung wird um Quellenangabe gebeten.
"Direkte Leben 
Versicherung AG";"Triftstr. 53
60528 Frankfurt";Rentenversicherung nach Altersvermögensgesetz (Gruppentarif);Direkte Leben Versicherung Aktiengesellschaft;A;000097;01.01.2002;01.12.2012;;;
"Direkte Leben 
Versicherung AG";"Triftstr. 53
60528 Frankfurt";Rentenversicherung nach AVmG auf Zulagenbasis (Einzeltarif);Direkte Leben Versicherung Aktiengesellschaft;A;000098;01.01.2002;01.12.2012;;;
"Direkte Leben 
Versicherung AG";"Triftstr. 53
60528 Frankfurt";Rentenversicherung nach AVmG auf Zulagenbasis (Gruppentarif);Direkte Leben Versicherung Aktiengesellschaft;A;000099;01.01.2002;01.12.2012;;;
DIREKTE LEBEN Versicherung AG;"Triftstraße 53
60528 Frankfurt"; Rentenversicherung nach dem Altersvermögensgesetz;Direkte Leben Versicherung Aktiengesellschaft;A;003835;02.11.2006;01.01.2017;;;
DIREKTE LEBEN Versicherung AG;"Triftstraße 53
60528 Frankfurt";Rentenversicherung nach dem Altersvermögensgesetz;Direkte Leben Versicherung Aktiengesellschaft;A;003862;02.01.2007;01.01.2017;;;
Dithmarscher Volks- und Raiffeisenbank eG;"Markt 24-25
25746 Heide";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Dithmarscher Volks- und Raiffeisenbank eG;A;000936;01.01.2002;;;;
Dithmarscher Volks- und Raiffeisenbank eG;"Markt 24-25
25746 Heide";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Dithmarscher Volks- und Raiffeisenbank eG;A;001505;01.01.2002;;;;
Dithmarscher Volks- und Raiffeisenbank eG;"Markt 24-25
25746 Heide";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Dithmarscher Volks- und Raiffeisenbank eG;A;002403;01.01.2002;;;;
DKM Darlehnskasse Münster eG;"Breul 26
48143 Münster";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);DKM Darlehnskasse Münster eG;A;003211;01.01.2002;;;;
DKM Darlehnskasse Münster eG;"Breul 26
48143 Münster";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);DKM Darlehnskasse Münster eG;A;002323;01.01.2002;;;;
DKM Darlehnskasse Münster eG;"Breul 26
48143 Münster";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);DKM Darlehnskasse Münster eG;A;001681;01.01.2002;;;;
Dortmunder Volksbank eG;44128 Dortmund;Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Dortmunder Volksbank eingetragene Genossenschaft;A;000840;01.01.2002;;;;
Dortmunder Volksbank eG;44128 Dortmund;Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Dortmunder Volksbank eingetragene Genossenschaft;A;002253;01.01.2002;;;;
Dortmunder Volksbank eG;44128 Dortmund;Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Dortmunder Volksbank eingetragene Genossenschaft;A;001404;01.01.2002;;;;
Dresdner Bank AG;"Jürgen-Ponto-Platz 1
60329 Frankfurt am Main";Dresdner Bank RiesterDarlehen;Dresdner Bank AG;A;004457;05.01.2009;01.01.2017;;;
DSL Bank - ein Geschäftsbereich der Deutsche Postbank AG;"Friedrich-Ebert-Allee 114-126
53113 Bonn";DSL Riester-Annuitätendarlehen bzw. Postbank Riester-Annuitätendarlehen für Mitarbeiter;Deutsche Postbank AG (DSL Bank - ein Geschäftsbereich der Deutschen Postbank AG);A;004427;01.11.2008;01.12.2019;;;
DWS Investment GmbH;"Mainzer Landstr. 178-190
60327 Frankfurt am Main";DWS BasisRente-Premium;DWS Investment GmbH;B;004520;06.01.2010;;;;
DWS Investment GmbH;"Mainzer Landstr. 178-190
60327 Frankfurt am Main";DWS RiesterRente Premium;DWS Investment GmbH;A;003837;01.12.2006;;;;
DWS Investment GmbH;"Mainzer Landstraße 178-190
60327 Frankfurt am Main";DWS RiesterRente Premium Select ;DWS Investment GmbH;A;003883;02.07.2007;01.01.2012;;;
DWS Investment GmbH;"Mainzer Landstr. 178-190
60327 Frankfurt am Main";DWS Premiumsparplan für Versorgungsausgleich;DWS Investment GmbH;A;005733;23.03.2012;;;;
DWS Investment GmbH;"Grüneburgweg 113-115
60323 Frankfurt/M";Activest/FSB Switch Förderplan (BVI-Verbandsmuster eines Altersvorsorgevertrages);DWS Investment GmbH;A;003074;01.01.2002;01.01.2017;;;
DWS Investment GmbH;"Mainzer Landstr. 178-190
60327 Frankfurt am Main";DWS FörderRente Premium;DWS Investment GmbH;A;005890;09.12.2013;01.12.2016;;;
"DWS Investment GmbH

";"Grüneburgweg 113-115
60323 Frankfurt/M";DWS TopRente;DWS Investment GmbH;A;000305;01.01.2002;;;;
Ebhauser Bank eG - Raiffeisenbank;"Ziegelweg 3
72224 Ebhausen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Raiffeisenbank im Kreis Calw eG;A;002507;01.01.2002;01.01.2022;;;
Eckernförder Bank eG Volksbank-Raiffeisenbank;"Kieler Str. 39-43
24340 Eckernförde";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Eckernförder Bank eG Volksbank-Raiffeisenbank;A;002400;01.01.2002;;;;
Eckernförder Bank eG Volksbank-Raiffeisenbank;"Kieler Str. 39-43
24340 Eckernförde";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Eckernförder Bank eG Volksbank-Raiffeisenbank;A;001452;01.01.2002;;;;
Edekabank AG;"New-York-Ring 6
22297 Hamburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);EDEKABANK Aktiengesellschaft;A;000790;01.01.2002;;;;
Ehinger Volksbank eG;"Marktplatz 10
89584 Ehingen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Donau-Iller Bank eG;A;000713;01.01.2002;01.01.2014;;;
Ehinger Volksbank eG;"Marktplatz 10
89584 Ehingen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Donau-Iller Bank eG;A;000207;01.01.2002;01.01.2014;;;
Ehinger Volksbank eG;"Marktplatz 10
89584 Ehingen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Donau-Iller Bank eG;A;001341;01.01.2002;01.01.2014;;;
Emsländische Volksbank eG;"Emsstr. 2-4
49716 Meppen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Emsländische Volksbank eG;A;002813;01.01.2002;01.05.2023;;;
Emsländische Volksbank eG;"Emsstr. 2-4
49716 Meppen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Emsländische Volksbank eG;A;002158;01.01.2002;;;;
Eppelborner Volksbank eG;"Koßmannstr. 2
66571 Eppelborn";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Eppelborner Volksbank eG;A;002618;01.01.2002;;;;
Eppelborner Volksbank eG;"Koßmannstr. 2
66571 Eppelborn";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Eppelborner Volksbank eG;A;003307;01.01.2002;;;;
Eppelborner Volksbank eG;"Koßmannstr. 2
66571 Eppelborn";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Eppelborner Volksbank eG;A;001826;01.01.2002;;;;
Erfurter Bank eG Raiffeisenbank;"Juri-Gagarin-Ring 158
99084 Erfurt";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Volksbank Thüringen Mitte eG;A;001861;01.01.2002;01.02.2022;;;
Erfurter Bank eG Raiffeisenbank;"Juri-Gagarin-Ring 158
99084 Erfurt";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Volksbank Thüringen Mitte eG;A;003339;01.01.2002;01.02.2022;;;
Erfurter Bank eG Raiffeisenbank;"Juri-Gagarin-Ring 158
99084 Erfurt";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Volksbank Thüringen Mitte eG;A;002653;01.01.2002;01.02.2022;;;
ERGO Lebensversicherung Aktiengesellschaft;"Überseering 45
22297 Hamburg";ERGO Riester-Rente Garant (Bedingungsstand 9.13);ERGO Lebensversicherung Aktiengesellschaft;A;005860;23.08.2013;01.01.2017;;;
ERGO Lebensversicherung Aktiengesellschaft;"Überseering 45
22297 Hamburg";ERGO Riester-Rente Garant Invest (Bedingungsstand 9.13) für innerhalb eines Kollektivvertrages geführte Altersvorsorgeverträge;ERGO Lebensversicherung Aktiengesellschaft;A;005861;23.08.2013;01.01.2017;;;
ERGO Lebensversicherung Aktiengesellschaft;"Überseering 45
22297 Hamburg";ERGO Riester-Rente Garant (Bedingungsstand 9.13) für innerhalb eines Kollektivvertrages geführte Altersvorsorgeverträge;ERGO Lebensversicherung Aktiengesellschaft;A;005862;23.08.2013;01.01.2017;;;
ERGO Lebensversicherung Aktiengesellschaft;"Überseering 45
22297 Hamburg";ERGO Riester-Rente Garant Invest (Bedingungsstand 9.13);ERGO Lebensversicherung Aktiengesellschaft;A;005863;23.08.2013;01.01.2017;;;
ERGO Lebensversicherung Aktiengesellschaft;"Überseering 45
22297 Hamburg";Kaiser-Vorsorge (nach Tarifen RRA, RPA) (Bedingungsstand 01.05 bis 12.06);ERGO Lebensversicherung Aktiengesellschaft;B;005583;01.04.2011;01.01.2012;;;
ERGO Lebensversicherung Aktiengesellschaft;"Überseering 45
22297 Hamburg";Kaiser-Vorsorge (nach Tarifen RRA, RPA) (Bedingungsstand 01.08);ERGO Lebensversicherung Aktiengesellschaft;B;005593;01.04.2011;01.01.2012;;;
ERGO Lebensversicherung Aktiengesellschaft;"Überseering 45
22297 Hamburg";Kaiser-Vorsorge (nach Tarifen RRAE, RPAE) (Bedingungsstand 01.05 bis 12.06);ERGO Lebensversicherung Aktiengesellschaft;B;005611;14.04.2011;01.01.2012;;;
ERGO Vorsorge Lebensversicherung Aktiengesellschaft;"ERGO-Platz 1
40477 Düsseldorf";ERGO Basis-Rente Index;ERGO Vorsorge Lebensversicherung Aktiengesellschaft;B;006342;09.07.2020;01.02.2022;;;
ERGO Vorsorge Lebensversicherung Aktiengesellschaft;"ERGO-Platz 1
40477 Düsseldorf";ERGO Basis-Rente Balance;ERGO Vorsorge Lebensversicherung Aktiengesellschaft;B;006343;09.07.2020;01.02.2022;;;
ERGO Vorsorge Lebensversicherung Aktiengesellschaft;"ERGO-Platz 1
40477 Düsseldorf";ERGO Basis-Rente Balance;ERGO Vorsorge Lebensversicherung Aktiengesellschaft;B;006240;28.03.2019;01.02.2022;;;
ERGO Vorsorge Lebensversicherung Aktiengesellschaft;"ERGO-Platz 1
40477 Düsseldorf";ERGO Basis-Rente Index;ERGO Vorsorge Lebensversicherung Aktiengesellschaft;B;006241;28.03.2019;01.02.2022;;;
ERGO Vorsorge Lebensversicherung Aktiengesellschaft;"ERGO-Platz 1
40477 Düsseldorf";ERGO Basis-Rente Index;ERGO Vorsorge Lebensversicherung Aktiengesellschaft;B;006417;09.06.2021;;;;
ERGO Vorsorge Lebensversicherung Aktiengesellschaft;"ERGO-Platz 1
40477 Düsseldorf";ERGO Basis-Rente Balance;ERGO Vorsorge Lebensversicherung Aktiengesellschaft;B;006418;09.06.2021;;;;
Erster Lohner Leibrentenverein kleiner VVa.G.;"Goldammerweg 7
49393 Lohne";BRV 01;Erster Lohner Leibrentenverein kleiner VVa.G.;B;005555;02.02.2011;01.01.2017;;;
ESPABAU Eisenbahn Spar- und Bauverein Bremen eG;"Meraner Str. 18
28215 Bremen";Altersvorsorgevertrag-Muster GdW;ESPABAU Eisenbahn Spar- und Bauverein Bremen eG;A;003546;01.01.2002;01.01.2017;;;
EUROPA Lebensversicherung AG;"Postfach 10 07 50
50595 Köln";ZertiRent - Fonds-Rente mit Mindestgarantie;EUROPA Lebensversicherung Aktiengesellschaft;A;000385;01.01.2002;01.01.2006;;;
EUROPA Lebensversicherung AG;"Piusstraße 137
50931 Köln";Life Invest Fonds-Rente zur Basisversorgung;EUROPA Lebensversicherung Aktiengesellschaft;B;004865;16.03.2010;01.01.2017;;;
EUROPA Lebensversicherung AG;"Piusstraße 137
50931 Köln";Rentenversicherung zur Basisversorgung;EUROPA Lebensversicherung Aktiengesellschaft;B;004866;16.03.2010;01.01.2017;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";Life Invest Fonds - Rente zur Basisversorgung;EUROPA Lebensversicherung Aktiengesellschaft;B;005656;06.10.2011;01.01.2017;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";Rentenversicherung zur Basisversorgung;EUROPA Lebensversicherung Aktiengesellschaft;B;005657;06.10.2011;01.01.2017;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";Rentenversicherung zur Basisversorgung (Typ C);EUROPA Lebensversicherung Aktiengesellschaft;B;005306;30.12.2010;01.01.2017;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";"""Rentenversicherung zur Basisversorgung
 (Typ B)""";EUROPA Lebensversicherung Aktiengesellschaft;B;005307;30.12.2010;01.01.2017;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";"""Rentenversicherung zur Basisversorgung
 (Typ A)""";EUROPA Lebensversicherung Aktiengesellschaft;B;005308;30.12.2010;01.01.2017;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";Life invest Fonds-Rente zur Basisversorgung (Typ C);EUROPA Lebensversicherung Aktiengesellschaft;B;005309;30.12.2010;01.01.2017;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";Life invest Fonds-Rente zur Basisversorgung (Typ B);EUROPA Lebensversicherung Aktiengesellschaft;B;005310;30.12.2010;01.01.2017;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";Life invest Fonds-Rente zur Basisversorgung (Typ A);EUROPA Lebensversicherung Aktiengesellschaft;B;005311;30.12.2010;01.01.2017;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";Rentenversicherung zur Basisversorgung;EUROPA Lebensversicherung Aktiengesellschaft;B;006076;24.10.2016;;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";Fondsgebundene Rentenversicherung zur Basisversorgung;EUROPA Lebensversicherung Aktiengesellschaft;B;006077;24.10.2016;;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";Life Invest Fonds-Rente zur Basisversorgung;EUROPA Lebensversicherung Aktiengesellschaft;B;005755;10.09.2012;01.01.2017;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";Rentenversicherung zur Basisversorgung;EUROPA Lebensversicherung Aktiengesellschaft;B;005754;10.09.2012;01.01.2017;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";Rentenversicherung zur Basisversorgung;EUROPA Lebensversicherung Aktiengesellschaft;B;006459;28.12.2021;;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";fondsgeb. Rentenvers. mit Garantieleistung zur Basisvers.;EUROPA Lebensversicherung Aktiengesellschaft;B;006460;28.12.2021;;;;
EUROPA Lebensversicherung Aktiengesellschaft;"Piusstraße 137
50931 Köln";fondsgebundene Rentenversicherung zur Basisversorgung;EUROPA Lebensversicherung Aktiengesellschaft;B;006461;28.12.2021;;;;
Evangelische Darlehnsgenossenschaft eG;"Herzog-Friedrich-Str. 45
24103 Kiel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Evangelische Darlehnsgenossenschaft eG;A;001839;01.01.2002;;;;
Evangelische Darlehnsgenossenschaft eG;"Herzog-Friedrich-Str. 45
24103 Kiel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Evangelische Darlehnsgenossenschaft eG;A;003320;01.01.2002;;;;
Evangelische Darlehnsgenossenschaft eG;"Herzog-Friedrich-Str. 45
24103 Kiel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Evangelische Darlehnsgenossenschaft eG;A;002632;01.01.2002;;;;
Evangelische Kreditgenossenschaft eG;"Seidlerstr. 6
34117 Kassel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Evangelische Bank eG;A;002081;01.01.2002;;;;
Evangelische Kreditgenossenschaft eG;"Seidlerstr. 6
34117 Kassel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Evangelische Bank eG;A;002767;01.01.2002;;;;
Evangelische Kreditgenossenschaft eG;"Seidlerstr. 6
34117 Kassel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Evangelische Bank eG;A;001246;01.01.2002;;;;
Evenord-Bank Einkaufs- und Verwertungsgenossen-schaft der nordbayerischen Fleischer eG - KG;"Schlachthofstr. 12
90439 Nürnberg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);EVENORD-BANK eG-KG;A;001398;01.01.2002;;;;
Evenord-Bank Einkaufs- und Verwertungsgenossen-schaft der nordbayerischen Fleischer eG - KG;"Schlachthofstr. 12
90439 Nürnberg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);EVENORD-BANK eG-KG;A;000777;01.01.2002;;;;
EVM Berlin eG;"Paulsenstraße 39
12163 Berlin";EVM genossenschaftliche Altersvorsorge mit Wohn-Riester;EVM Berlin eG;A;005649;27.09.2011;01.01.2017;;;
Familienfürsorge Lebensversicherung AG im Raum der Kirchen;"Doktorweg 2-4
32756 Detmold";Rentenversicherung gemäß AltZertG;Versicherer im Raum der Kirchen Lebensversicherung AG ;A;003857;02.01.2007;;;;
FAMILIENFÜRSORGE Lebensversicherung AG im Raum der Kirchen;"Doktorweg 2-4
32756 Detmold";ABR1;Versicherer im Raum der Kirchen Lebensversicherung AG ;B;005807;12.12.2012;01.01.2017;;;
FAMILIENFÜRSORGE Lebensversicherung AG im Raum der Kirchen;"Doktorweg 2-4
32756 Detmold";ABR2;Versicherer im Raum der Kirchen Lebensversicherung AG ;B;005806;12.12.2012;01.01.2017;;;
Familienfürsorge Lebensversicherung AG im Raum der Kirchen;"Doktorweg 2-4
32756 Detmold";Basisrente (ABR1, ABR2);Versicherer im Raum der Kirchen Lebensversicherung AG ;B;005993;04.05.2016;;;;
FAMILIENFÜRSORGE Lebensversicherung AG im Raum der Kirchen;"Doktorweg 2-4
32756 Detmold";ABR1 09.3 (Stand 04.2010);Versicherer im Raum der Kirchen Lebensversicherung AG ;B;004930;01.04.2010;01.01.2017;;;
FAMILIENFÜRSORGE Lebensversicherung AG im Raum der Kirchen;"Doktorweg 2-4
32756 Detmold";ABR2 09.3 (Stand 04.2010);Versicherer im Raum der Kirchen Lebensversicherung AG ;B;004929;01.04.2010;01.01.2017;;;
FAMILIENFÜRSORGE Lebensversicherung auf Gegenseitigkeit im Raum der Kirchen;"Doktorweg 2-4
32756 Detmold";Rentenversicherung gemäß AltZertG;Versicherer im Raum der Kirchen Lebensversicherung AG ;A;000178;01.01.2002;01.01.2017;;;
FAMILIENFÜRSORGE Lebensversicherung auf Gegenseitigkeit im Raum der Kirchen;"Doktorweg 2-4
32756 Detmold";Fondsgebundene Rentenversicherung;Versicherer im Raum der Kirchen Lebensversicherung AG ;A;000114;01.01.2002;01.01.2017;;;
Familienheim Freiburg Baugenossenschaft eG;"Gaußstr. 5
79114 Freiburg ";Altersvorsorgevertrag-Muster GdW;Familienheim Freiburg Baugenossenschaft eG;A;003534;01.01.2002;01.01.2017;;;
Familienheim Rhein-Neckar eG;68161 Mannheim;Altersvorsorgevertrag-Muster GdW;Familienheim Rhein-Neckar eG;A;003535;01.01.2002;01.01.2017;;;
Familienschutz Lebensversicherung AG;"Rotebühlstr. 120
70197 Stuttgart";Rentenversicherung nach Altersvermögensgesetz;Direkte Leben Versicherung Aktiengesellschaft;A;001961;01.01.2002;01.01.2006;;;
Familienschutz Lebensversicherung AG;"Rotebühlstr. 120
70197 Stuttgart";Rentenversicherung nach AltZertG auf Zulagenbasis;Direkte Leben Versicherung Aktiengesellschaft;A;001962;01.01.2002;01.01.2006;;;
Familienschutz Lebensversicherung AG;"Rotebühlstr. 120
70197 Stuttgart";Rentenversicherung nach dem Altersvermögensgesetz;Direkte Leben Versicherung Aktiengesellschaft;A;003836;02.11.2006;01.01.2017;;;
Federseebank eG;"Marktplatz 12
88422 Bad Buchau";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Volksbank-Raiffeisenbank Riedlingen-Federsee eG;A;001013;01.01.2002;04.04.2024;;;
Fellbacher Bank eG;"Berliner Platz 1
70734 Fellbach";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Fellbacher Bank eG;A;000991;01.01.2002;;;;
Fellbacher Bank eG;"Berliner Platz 1
70734 Fellbach";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Fellbacher Bank eG;A;002460;01.01.2002;;;;
Fellbacher Bank eG;"Berliner Platz 1
70734 Fellbach";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Fellbacher Bank eG;A;001555;01.01.2002;;;;
FinanceLife Lebensversicherung AG;"Untere Donaustarsse 21
1020 Wien";Fondsgebundene Basis-Rentenversicherung;FinanceLife Lebensversicherung AG;B;004825;22.02.2010;01.01.2017;;;
Flensburger Sparkasse;"Südergraben 8-14
24937 Flensburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.815.000 + 157.815.001;Nord-Ostsee Sparkasse;A;000674;01.03.2018;01.01.2014;;;
Flensburger Sparkasse;"Südergraben 8-14
24937 Flensburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung 157.810.000 157.800.001);Nord-Ostsee Sparkasse;A;000291;01.01.2002;01.01.2014;;;
Flensburger Sparkasse;"Südergraben 8-14
24937 Flensburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.812.000 +157.800.001;Nord-Ostsee Sparkasse;A;000382;01.01.2002;01.01.2014;;;
Flensburger Sparkasse;"Südergraben 8-14
24937 Flensburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.816.000 + 157.815.001;Nord-Ostsee Sparkasse;A;003034;01.01.2002;01.01.2014;;;
