id;einwilligung_teaser;aenderungsmitteilung;name_anbieter;kurzbeschreibung_des_anbieters;kurzbeschreibung_des_angebots;art_der_ermaessigung;website;strasse_und_hausnummer_des_angebots;plz_und_ort_des_angebots;gratis;kategorie;zielgruppen;freigabe;ansprechperson_anrede;ansprechperson_name;ansprechperson_email;einwilligung;empfaenger_recipient;empfaenger_subject;create_date;update_date
167;;;"Kirche zur frohen Botschaft | Amalien-Orgel";"Die Orgel der Pfarrkirche Zur frohen Botschaft (auch Amalien-Orgel) in Berlin-Karlshorst ist eine 1755 von Johann Peter Migendt und Ernst Julius Marx für Prinzessin Anna Amalie von Preußen erbaute Orgel";;"ermäßigter Eintritt in kostenpflichtige Konzertveranstaltungen (Tickets an der Abendkasse)";https://www.amalien-orgel.de/;"Weseler Str. 6";"10318 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-13 15:22:34";"2025-02-24 14:49:10"
168;;;Klunkerkranich;"Eine Oase über den Dächern der Stadt  ein Kulturdorf mitten in Neukölln. Seit 10 Jahren ist der Kulturdachgarten Klunkerkranich auf dem obersten Parkdeck der Neukölln Arcarden zuhause und hat sich als Ort für Club- & Subkultur etabliert.";;"50% Ermäßigung des Eintrittpreises";http://klunkerkranich.org/;"Karl-Marx-Straße 66";"12043 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-14 15:22:34";"2025-02-24 14:49:10"
169;;;"Komische Oper Berlin";"Die Komische Oper Berlin ist ein Opernhaus, derzeit ansässig im Schillertheater in Berlin-Charlottenburg.";;"""3 Euro Ticket"" im Vorverkauf für alle Sinfoniekonzerte und ausgewählte Termine unserer Musiktheater-Produktionen; buchbar bis 2 Tage vor der Vorstellung nach Verfügbarkeit | ""3 Euro Ticket"" an der Abendkasse für alle Repertoire-Vorstellungen und Sinfoniekonzerte im Großen Saal; buchbar ab 30 Minuten vor Vorstellungsbeginn nach Verfügbarkeit und Vorlage des Berechtigungsscheines. Im Vorverkauf bis 2 Tage vor der Vorstellung, An der Abendkasse ab 30 Minuten vor Vorstellungsbeginn, keine Reservierungen möglich";https://www.komische-oper-berlin.de/;"Bismarckstraße 110";"10625 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2024-11-28 16:53:48";"2025-02-24 14:49:10"
171;;;"KulturKirche nikodemus";"Die Nikodemuskirche versteht sich als Kulturkirche. Das zeigt sich in zahlreichen Konzerten und Ausstellungen, die in den Räumlichkeiten stattfinden und dem Chor (gemeinsam mit der benachbarten Martin-Luther-Gemeinde).";;"ermäßigter Eintritt zu den Konzerten (Jazz, Klassik, Chor)";http://art.kulturkirche-nikodemus.berlin;"Nansenstraße 12";"12047 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-17 15:22:34";"2025-02-24 14:49:11"
172;;;"KulturLeben Berlin e. V.";"Jeder hat das Recht, am kulturellen Leben teilzunehmen! Seit 14 Jahren vermittelt KulturLeben Berlin nicht verkaufte Kulturplätze kostenlos an Menschen, die sich einen Kulturbesuch nicht leisten können.";;"Kostenlose Tickets! Die KulturLeben Berlin e. V.  vermittelt freie Kulturplätze - beispielsweise für Theater, Konzerte, Oper oder Lesungen - kostenlos an Menschen mit geringem Einkommen. Mitgliedschaft für jeweils 1 Jahr; Verlängerung durch aktuellen Einkommensnachweis; Mitgliedschaft Altersrentner*innen ist unbefristet. :Kostenlose Tickets für unterschiedliche Veranstaltungen, vorherige Anmeldung / Registrierung erforderlich - siehe auch https://kulturleben-berlin.de/gast-werden/";https://kulturleben-berlin.de/;"Stephanstraße 51";"10559 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-18 15:22:34";"2025-02-24 14:49:11"
173;;;"Kulturring in Berlin e. V.";"Der Kulturring ist Teil der freien Kultur- und Kunstszene, der allen offen steht, die mit ihm zusammen für ein kulturvolles Miteinander und für kulturelle Vielfalt eintreten.";;"teilweise kostenloser oder ermäßigter Eintritt sowie Nutzung der Medienpoints";www.kulturring.berlin;"Ernststraße 14";"12437 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-19 15:22:34";"2025-02-24 14:49:12"
174;;;Kunstbibliothek;"Die Kunstbibliothek am Kulturforum gehört zum Verbund der Staatlichen Museen zu Berlin, Stiftung Preußischer Kulturbesitz. Sie ist eine interdisziplinäre Museumseinrichtung und Forschungsstätte für Kunst- und Mediengeschichte";;"freier Eintritt";https://www.smb.museum/hbf;"Matthäikirchplatz 6";"10785 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;kommunikatioHV@hv.spk-berlin.de;;;;"2025-05-20 15:22:34";"2025-04-25 12:26:15"
175;;;"Kunstfabrik Köpenick GmbH | Stadttheater Cöpenick";"Mit Beginn des Jahres 1994 rückte die Kunstfabrik Köpenick zunehmend gemeinnützige Projekte von, mit und für Kinder und Senioren in den Mittelpunkt ihrer Arbeiten und eröffnete in den Bereichen Theaterarbeit, Schreibzirkel, Kunsthandwerk (z.B. Gestaltung mit Naturmaterialien, Speckstein, Holz- und Salzteiggestaltung), Seidenmalerei und mit einer Schneiderwerkstatt für Kids neue Möglichkeiten für Interessierte.";;"ermäßigter Eintritt für Kinderveranstaltungen, Erwachsene 6 Euro und Kinder 4 Euro";http://www.kunstfabrikkoepenick.de;"Wilhelminenhofstraße 89A";"12459 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-21 15:22:34";"2025-02-24 14:49:13"
176;;;Kunstgewerbemuseum;"Das Kunstgewerbemuseum der Staatlichen Museen zu Berlin gilt als eine der bedeutendsten Sammlungen europäischen Kunsthandwerks vom Mittelalter bis zur Gegenwart. ";;"freier Eintritt";http://www.smb.museum/kgm;Matthäikirchplatz;"10785 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-22 15:22:34";"2025-02-24 14:49:13"
177;;;"Kunstraum Kreuzberg/Bethanien";"Der Kunstraum Kreuzberg/Bethanien zeigt Gruppen- und Themenausstellungen zu sozialen und kulturellen Gegenwartsprozessen in Auseinandersetzung mit den zeitgenössischen Künsten.";;"freier Eintritt für alle Besucher*innen";https://www.kunstraumkreuzberg.de/;"Mariannenpl. 2";"10997 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-23 15:22:34";"2025-02-24 14:49:13"
178;;;Kupferstichkabinett;"Das Kupferstichkabinett in Berlin zählt weltweit zu den bedeutendsten Museen der Grafischen Künste.";;"freier Eintritt";http://www.smb.museum/kk;Matthäikirchplatz;"10785 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;kommunikatioHV@hv.spk-berlin.de;;;;"2025-05-24 15:22:34";"2025-04-25 12:28:21"
179;;;"Labyrinth Kindermuseum Berlin";"Mithilfe von interaktiven Ausstellungen, Workshops, Projekten und weiteren Veranstaltungen geht das Labyrinth-Kindermuseum bereits seit 1997 dem Ziel nach, Kindern das Lernen schmackhaft zu machen. Indem die Kids aktiv involviert werden - anfassen, ausprobieren, fragen, rennen und mit allen Sinnen erfahren ausdrücklich erwünscht -, lernen sie, selber nachzudenken und zu hinterfragen.";;"ermäßigter Eintritt freitags von 13 bis 18 Uhr";www.labyrinth-kindermuseum.de;"Osloer Str. 12";"13359 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-25 15:22:34";"2025-02-24 14:49:14"
180;;;"Lange Nacht der Museen";"Bei der Langen Nacht der Museen in Berlin öffnen viele Museen und Ausstellungsorte der Hauptstadt wieder des Nachts ihre Türen.";;"ermäßigtes Ticket";https://www.lange-nacht-der-museen.de/;;Berlin;nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-26 15:22:34";"2025-02-24 14:49:15"
181;;;"Lavanderia Vecchia";"Ausgefallenes mediterranes Restaurant im Stil einer italienischen Straße mit Wäscheleinen und Sichtmauerwerk.";;"Ermäßigtes Mittagessen - Angebote - z.B. den Berechtigungsnachweis- (vorher berlinpass-) Mittagstisch -  finden Sie im Internet.";http://www.lavanderiavecchia.de;"Flughafenstraße 46";"12053 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-27 15:22:34";"2025-02-24 14:49:15"
182;;;"LEGOLAND Discovery Centre Berlin";"""Das LEGOLAND® Discovery Centre Berlin ist der ultimative Indoor LEGO® Spielplatz für Familien mit Kindern von 3-10 Jahren. """;;"Bei Vorlage des Nachweises erhalten Sie zwei Karten zum Preis von einer (nicht kombinierbar mit anderen Rabatten). Gültig von Montag bis Freitag ab 13 Uhr (Kassenschluss 17 Uhr), bitte aktuelle ?ñffnungszeiten beachten, siehe Website. Minderjährige müssen von einem volljährigen Erwachsenen begleitet werden und volljährige Erwachsene erhalten nur in Begleitung von mindestens einem Kind Einlass. Bitte reservieren Sie sich vorher online ein kostenloses Zeitfenster direkt über die Website, damit der Einlass garantiert ist.";https://www.legolanddiscoverycentre.com/berlin/;"Potsdamer Str. 4";"10785 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-28 15:22:34";"2025-02-24 14:49:16"
183;;;"Leo-Borchard-Musikschule Steglitz-Zehlendorf";"Die Leo-Borchard-Musikschule ist eine der größten Musikschulen Deutschlands. Sie bietet Kindern, Jugendlichen, erwachsenen und Senioren die Mög-lichkeit, beinahe jedes erdenkliche Instrument zu lernen und in zahlreichen Ensembles zu spielen.";;"Ermäßigte Kursgebühren";https://www.berlin.de/musikschule-steglitz-zehlendorf/service/entgeltermaessigung/;"Martin-Buber-Straße 21";"14163 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-29 15:22:34";"2025-02-24 14:49:16"
184;;;"Lernen im FEZ-Berlin";"Das FEZ-Berlin ist der vielfältigste Spiel-, Lern- und Erlebnisort Berlins. Unter seinem Dach versammeln sich auf 13.000 m² Indoor- und 175.000 m² Outdoor-Fläche inmitten des Waldparks Wuhlheide diverse Spielorte sowie Bildungs- und Kulturangebote für alle Generationen.";;"Schüler*innen erhalten bei Vorlage des Nachweises eine Ermäßigung. Diese entfällt, wenn die jeweilige Schule das Bildungs- und Teilhabepaket in Anspruch nehmen kann. je nach Programm";https://bildungsangebote.fez-berlin.de/;"Str. zum FEZ 2";"12459 Berlin";nein;"Bildung & Beratung";"Erwachsene, Senioren, Familie";;;;;;;;"2025-05-30 15:22:34";"2025-02-27 16:30:14"
185;;;Lichtblick-Kino;"Das Lichtblick-Kino ist ein unabhängiges Programmkino, dessen Anfänge ins Jahr 1994 zurückgehen.";;"ermäßigter Eintritt, Die ermäßigten Preise sind aktuell ausgesetzt. Spielfilm 8 Euro / 8,50 Euro bei ?úberlänge|Kinderfilme 5 Euro pro Kind / 7 Euro für Erwachsene";http://www.lichtblick-kino.org/;"Kastanienallee 77";"10435 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-05-31 15:22:34";"2025-02-24 14:49:17"
186;;;"Liebermann-Villa am Wannsee";"Die Liebermann-Villa am Wannsee widmet sich dem Wirken und den Werken Max Liebermanns.";;"ermäßigter Eintritt, 6 Euro, Kinder bis 18 Jahren haben freien Eintritt";www.liebermann-villa.de;"Colomierstraße 3";"14109 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-01 15:22:34";"2025-02-24 14:49:17"
187;;;"Little BIG City Berlin";"Entdecke die kleinen Geschichten und großen Momente aus über 750 Jahre Berliner Geschichte.";;"Bei Vorlage des Nachweises erhalten Sie zwei Karten zum Preis von einer (nicht kombinierbar mit anderen Rabatten). Bitte beachten Sie, dass Kinder unter 15 J. von einem Erwachsenen begleitet werden müssen.";https://www.officiallittlebigcity.com/berlin/;"Panoramastraße 1a";"10178 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-02 15:22:34";"2025-02-24 14:49:18"
188;;;"MACHmit! Museum für Kinder";"Das Machmit! Museum richtet Ausstellungen speziell für Kinder zwischen drei und zwölf Jahren und ihre Erwachsenen aus. Kinder sind nicht nur die Zielgruppe des Museums, sondern ebenfalls an der Entwicklung der Wechselausstellungen beteiligt.";;"ermäßigter Eintritt für die Ausstellung »Schwitzen & Frieren« Juli 2023 bis 08. Juni 2025";www.machmitmuseum.de;"Senefelderstraße 5";"10437 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-03 15:22:34";"2025-02-24 14:49:18"
189;;;"Madame Tussauds Berlin";"Museum mit lebensgroßen Wachsfiguren berühmter Amerikaner & historischer Persönlichkeiten in Themenbereichen.";;"Ermäßigter Eintritt. Bei Vorlage des Nachweises erhalten Sie zwei Karten zum Preis von einer (nicht kombinierbar mit anderen Rabatten). gültig Mo-Fr ab 15 Uhr";www.madametussauds.com/Berlin;"Unter den Linden 74";"10117 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-04 15:22:34";"2025-02-24 14:49:18"
191;;;"Mädchen-und JungenSportZentrum im Centre Talma";"Das Centre Talma ist eine Kinder- und Jugendfreizeitstätte des VSJ&GSJ Berlin im Bezirk Reinickendorf, Wittenau, in der eine Trägergemeinschaft ein vielfältiges Angebot an fünf Tagen anbietet.";;"Ermäßigte Kursgebühren. Wir bieten Bewegung, Kommunikation und Bildung für Mädchen und junge Frauen und Jungs und junge Männer. In der Kooperation mit Schulen bieten wir Schnupperangebote im Rahmen von Wandertagen, Projekttagen oder regelmäßige offene sportorientierte Angebote";https://www.centre-talma.de/;"Hermsdorfer Str. 18A";"13469 Berlin";nein;Sport;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-06 15:22:34";"2025-02-24 14:49:19"
192;;;"Märkisches Museum";"In über 50 Schauräumen erzählt das Märkische Museum Geschichte und Geschichten der Stadt Berlin von ihren Anfängen bis zur Gegenwart. Ausgestellt sind unter anderem Berliner Kunst und Skulpturen, Waffen, Münzen, Möbel, Urkunden, Plakate, Fotografien, Stadtansichten und Stadtmodelle.";;"ermäßigter Eintritt Mi-Fr 12-18 Uhr |Sa und So 10-18 Uhr 7 Euro / erm. 4 Euro (inkl. Audioguide), Eintritt frei für Kinder und Jugendliche bis 18 Jahre. Preisänderungen vorbehalten.";http://www.stadtmuseum.de;"Am Köllnischen Park 5";"10179 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-07 15:22:34";"2025-02-24 14:49:20"
193;;;"Mauermuseum - Museum Haus am Checkpoint Charlie";"Das Haus am Checkpoint Charlie zeigt die Geschichte der Mauer und der Teilung Berlins.";;"ermäßigter Eintritt";www.mauermuseum.de;"Friedrichstraße 43-45";"10969 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-08 15:22:34";"2025-02-24 14:49:20"
194;;;"Maxim Gorki Theater Berlin";"Im Gorki werden Themen der Gegenwart auf die Bühne gebracht, die lange im Theater vermisst wurden.";;"""3 Euro Ticket"""", auch im Vorverkauf, Reservierungen sind möglich. gilt nicht für Premieren, Sonder- und Fremdveranstaltungen""";www.gorki.de;"Am Festungsgraben 2";"10117 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-09 15:22:34";"2025-02-24 14:49:20"
195;;;"Mehringhof Theater";"Die Mischung macht's im Mehringhof Theater: Bekannte Szenegrößen wie Kurt Krömer, Fil, Horst Evers, Marc-Uwe Kling, Josef Hader, Max Uthoff oder Felix Lobrecht treten ebenso im Mehringhof Theater auf wie vielversprechende Newcomerinnen und Newcomer, die ihre ersten Schritte vor dem Hauptstadtpublikum wagen.";;"ermäßigter Eintritt für alle Vorstellungen und Gastspiele";http://www.mehringhoftheater.de/;"Gneisenaustraße 2A";"10961 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-10 15:22:34";"2025-02-24 14:49:21"
196;;;Mendelssohn-Remise;"Die Mendelssohn-Gesellschaft e. V. ist ein 1967 von Mendelssohn-Forschern und -Nachkommen gegründeter, in Berlin ansässiger gemeinnütziger Verein, der sich die Pflege und Verbreitung des geistigen und künstlerischen Erbes der Mendelssohn-Familie in allen ihren Zweigen zum Ziel gesetzt hat.";;"freier Eintritt für alle Besucher*innen, Spende erbeten";www.mendelssohn-gesellschaft.de/ausstellung_1.php?lang=1;"Jägerstraße 51";"10117 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-11 15:22:34";"2025-02-24 14:49:21"
198;;;"Modellpark Berlin-Brandenburg";"Im Modellpark Berlin-Brandenburg in der Wuhlheide sind insgesamt über 80 Modelle von Berliner und Brandenburger Bauwerken zu sehen, vom Brandenburger Tor bis zur Pfaueninsel.";;"ermäßigter Eintritt";www.modellparkberlin.de;"An d. Wuhlheide 81";"12459 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-13 15:22:34";"2025-02-24 14:49:22"
199;;;"Museum Blindenwerkstatt Otto Weidt";"Das Museum erzählt die Geschichte der Blindenwerkstatt Otto Weidt. Während des Zweiten Weltkrieges beschäftigte der Kleinfabrikant Otto Weidt hauptsächlich blinde und gehörlose Juden.";;"freier Eintritt für alle Besucher*innen täglich geöffnet 10-18 Uhr";http://www.museum-blindenwerkstatt.de/;"Rosenthaler Str. 39";"10178 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-14 15:22:34";"2025-02-24 14:49:23"
200;;;"Museum Charlottenburg-Wilmersdorf in der Villa Oppenheim";"Das 1987 gegründete Museum Charlottenburg-Wilmersdorf widmet sich der Erforschung und Vermittlung der Regional- und Stadtgeschichte des Bezirks sowie der Berliner Kulturgeschichte.";;"freier Eintritt für alle Besucher*innen";www.villa-oppenheim-berlin.de;"Schloßstraße 55";"14059 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-15 15:22:34";"2025-02-24 14:49:23"
201;;;"Museum der Unerhörten Dinge";"Das Museum der Unerhörten Dinge ist eine Sammlung von künstlerischen, wissenschaftlichen und technischen Gegenständen, die meist unbeachtet sind, aber Geschichten erzählen - oder zumindest erzählen könnten.";;"freier Eintritt für alle Besucher*innen geöffnet Mi bis Fr 15-19 Uhr";www.museumderunerhoertendinge.de;"Crellestraße 5-6";"10827 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-16 15:22:34";"2025-02-24 14:49:24"
202;;;"Museum für Europäische Kulturen";"Das Museum Europäischer Kulturen in Berlin-Dahlem widmet sich den Lebenswelten in Europa und europäischen Kulturkontakten vom 18. Jahrhundert bis heute.";;"freier Eintritt für alle Besucher*innen";https://www.smb.museum/mek;"Arnimallee 25";"14195 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;kommunikatioHV@hv.spk-berlin.de;;;;"2025-06-17 15:22:34";"2025-04-25 12:30:00"
203;;;"Museum für Fotografie";"Das Museum für Fotografie und die Helmut Newton Stiftung präsentieren alle Formen der Fotografie vom 19. bis zum 21. Jahrhundert.";;"freier Eintritt";https://www.smb.museum/mf;"Jebensstraße 2";"10623 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;kommunikatioHV@hv.spk-berlin.de;;;;"2025-06-18 15:22:34";"2025-04-25 12:34:06"
205;;;"Museum in der Kulturbrauerei";"Das Museum in der Kulturbrauerei zeigt jährlich zwei Wechselausstellungen zur Zeitgeschichte und bietet ein attraktives Veranstaltungsprogramm aus Lesungen, Diskussionen, Familientagen und vielem mehr.";;"freier Eintritt für alle Besucher*innen ?ñffentliche Begleitung durch die Ausstellung jeden Samstag und Sonntag um 14 Uhr | siehe Website";www.hdg.de/berlin/museum-in-der-kulturbrauerei;"Knaackstraße 97";"10435 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-20 15:22:34";"2025-02-24 14:49:25"
206;;;"Museum Köpenick";"Seit 1999 dokumentiert die Dauerausstellung ""Köpenick - Von den Anfängen bis zur Gegenwart"""" die Geschichte des Bezirkes Köpenick. Neben einer Auswahl der wichtigsten archäologischen Funde der letzten Jahrzehnte werden die bedeutendsten Kapitel der Stadt- und Bezirksgeschichte dargestellt.""";;"freier Eintritt für alle Besucher*innen Di und Do 10-18 Uhr | Mi 10-16 Uhr |Sonntag 14-18 Uhr";www.berlin.de/museum-treptow-koepenick/;"Alter Markt 1";"12555 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-21 15:22:34";"2025-02-24 14:49:26"
207;;;"Museum Lichtenberg";"Das Museum Lichtenberg ist mehr als ein Museum. Als Informations-, Kultur- und Bildungsstätte lädt es ein, die Geschichte und Gegenwart Lichtenbergs aus unterschiedlichen Blickwinkeln zu betrachten, zu erforschen und zu diskutieren.";;"freier Eintritt in die Ausstellungen für alle Besucher*innen";www.museum-lichtenberg.de;"Türrschmidtstraße 24";"10317 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-22 15:22:34";"2025-02-24 14:49:26"
208;;;"Museum Neukölln";"Das Museum Neukölln versteht sich als modernes Regionalmuseum und bieten einen interaktiven Einstieg in die regionale Geschichte des Bezirks.";;"freier Eintritt für alle Besucher*innen - auch bei kostenpflichtigen Veranstaltungen täglich 10-18 Uhr";www.museum-neukoelln.de;"Alt-Britz 81";"12359 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-06-23 15:22:34";"2025-02-24 14:49:27"
